	CompanyLocation | Date	Level NameTag	Years of ExperienceTotal / At Company	Total Compensation (USD)Base | Stock (yr) | Bonus
0	FacebookNew York, NY | 10 hours ago	E3ML / AI	0 yrs 0 yrs	$198,999130K | 40K | 29K
1	MITREWest McLean, VA | 12 hours ago	Intermediate Software EngineerML / AI	1 yr 0 yrs	$100,000100K | N/A | N/A
2	Grid.aiNew York, NY | 14 hours ago	M3ML / AI	10 yrs 2 yrs	$300,000300K | N/A | N/A
3	GreyscaleFremont, CA | 20 hours ago	L3ML / AI	2 yrs 0 yrs	$210,000160K | 50K | N/A
4	GoogleSan Francisco, CA | 20 hours ago	L3ML / AI	1 yr 0 yrs	$215,000175K | 40K | N/A
5	Level up with 1:1 interview prepFind Your CoachLevel Up	Level up with 1:1 interview prepFind Your CoachLevel Up	Level up with 1:1 interview prepFind Your CoachLevel Up	Level up with 1:1 interview prepFind Your CoachLevel Up
6	GoogleMountain View, CA | a day ago	L3ML / AI	0 yrs 0 yrs	$190,600144K | 25K | 21.6K
7	Capital OneCambridge, MA | 2 days ago	Senior Software EngML / AI	1 yr 1 yr	$166,800157.8K | N/A | 9K
8	AmazonSeattle, WA | 2 days ago	SDE IIIML / AI	10 yrs 7 yrs	$360,000160K | 200K | N/A
9	Lockheed MartinFort Worth, TX | 2 days ago	E1ML / AI	0 yrs 0 yrs	$89,02084K | N/A | 5K
10	ForethoughtSan Francisco, CA | 2 days ago	L2ML / AI	4 yrs 1 yr	$214,022134.9K | 65.6K | 13.5K
11	GoogleNew York, NY | 2 days ago	L3ML / AI	1 yr 0 yrs	$192,500180K | 12.5K | N/A
12	VisaPalo Alto, CA | 2 days ago	Senior Software EngineerML / AI	1 yr 1 yr	$164,000131K | 20K | 13K
13	AppleLos Angeles, CA | 2 days ago	ICT3ML / AI	7 yrs 3 yrs	$255,000165K | 90K | N/A
14	Restaurant Brands...Miami, FL | 3 days ago	SrML / AI	5 yrs 2 yrs	$140,000140K | N/A | N/A
15	GoogleIrvine, CA | 3 days ago	L5ML / AI	9 yrs 3 yrs	$470,000235K | 200K | 35K
16	SamsungPortland, OR | 3 days ago	L6ML / AI	6 yrs 1 yr	$330,000225K | N/A | 105K
17	AmazonNew York, NY | 3 days ago	SDE IIML / AI	4 yrs 1 yr	$238,000170K | 32K | 36K
18	Boston UniversityBoston, MA | 3 days ago	-ML / AI	3 yrs 2 yrs	$63,99664K | N/A | N/A
19	MicrosoftMountain View, CA | 3 days ago	Principal SDEML / AI	5 yrs 5 yrs	$295,000230K | 35K | 30K
20	AmazonNew York, NY | 3 days ago	SDE IIML / AI	4 yrs 1 yr	$240,000175K | 65K | N/A
21	Lockheed MartinHerndon, VA | 3 days ago	E3ML / AI	6 yrs 5 yrs	$125,000125K | N/A | N/A
22	AmazonSan Francisco, CA | 4 days ago	SDE IIML / AI	3 yrs 3 yrs	$246,000186K | 60K | N/A
23	DISCOAustin, TX | 4 days ago	L5ML / AI	9 yrs 2 yrs	$200,000190K | 10K | N/A
24	ByteDanceLos Angeles, CA | 5 days ago	3-1ML / AI	8 yrs 1 yr	$666,000361K | 190K | 115K
25	FreeWheelNew York, NY | 5 days ago	L4ML / AI	7 yrs 4 yrs	$254,000180K | 60K | 14K
26	HarvardCambridge, MA | 5 days ago	-ML / AI	4 yrs 4 yrs	$40,00040K | N/A | N/A
27	FacebookMenlo Park, CA | 5 days ago	E6ML / AI	15 yrs 5 yrs	$585,000255K | 280K | 50K
28	Wells FargoCharlotte, NC | 5 days ago	L1ML / AI	1 yr 1 yr	$85,00075K | N/A | 10K
29	AmazonNew York, NY | 6 days ago	SDE IML / AI	3 yrs 0 yrs	$202,500145K | 57.5K | N/A
30	AppleNew York, NY | 6 days ago	ICT4ML / AI	7 yrs 1 yr	$482,000215K | 212K | 55K
31	ICE Mortgage Tech...Pleasanton, CA | 6 days ago	L4ML / AI	3 yrs 1 yr	$160,000160K | N/A | N/A
32	ISEEBoston, MA | 7 days ago	Senior EngineerML / AI	4 yrs 3 yrs	$155,000155K | N/A | N/A
33	WaymoMountain View, CA | 7 days ago	L6ML / AI	7 yrs 5 yrs	$501,000270K | 150K | 81K
34	GoogleNew York, NY | 7 days ago	L5ML / AI	7 yrs 3 yrs	$700,780198K | 457.5K | 45.3K
35	FacebookSan Francisco, CA | 7 days ago	E5ML / AI	5 yrs 4 yrs	$484,352206K | 275.3K | 3.1K
36	FacebookMenlo Park, CA | 12/22/2022	E5ML / AI	4 yrs 4 yrs	$264,940198.9K | 51K | 15K
37	BlackRockNew York, NY | 12/21/2022	AnalystML / AI	2 yrs 2 yrs	$130,000120K | N/A | 10K
38	DeloitteNew York, NY | 12/21/2022	Analyst | L1ML / AI	0 yrs 0 yrs	$98,12595K | N/A | 3.1K
39	InstabaseSan Francisco, CA | 12/21/2022	IE-04ML / AI	3 yrs 1 yr	$231,203170K | 4.2K | 57K
40	AppleSan Francisco, CA | 12/21/2022	ICT4ML / AI	2 yrs 0 yrs	$300,000250K | 50K | N/A
41	YelpSan Francisco, CA | 12/21/2022	IC4ML / AI	5 yrs 5 yrs	$305,000200K | 105K | N/A
42	GoogleSan Francisco, CA | 12/20/2022	L3ML / AI	5 yrs 2 yrs	$218,943182.5K | 36.5K | N/A
43	BoeingSeattle, WA | 12/20/2022	L1ML / AI	4 yrs 0 yrs	$78,00078K | N/A | N/A
44	C.H. RobinsonSt. Louis, MO | 12/20/2022	L3ML / AI	1 yr 1 yr	$115,000115K | N/A | N/A
45	SquareSan Francisco, CA | 12/20/2022	Level 5ML / AI	4 yrs 0 yrs	+$38K$382,750204K | 175K | 3.8K
46	AmazonSeattle, WA | 12/20/2022	SDE IML / AI	0 yrs 0 yrs	$175,000125K | 30K | 20K
47	DeloitteBoston, MA | 12/20/2022	Analyst | L1ML / AI	0 yrs 0 yrs	$100,12597K | N/A | 3.1K
48	EquidoxCleveland, OH | 12/20/2022	-ML / AI	4 yrs 4 yrs	$95,00095K | N/A | N/A
49	AmazonNew York, NY | 12/20/2022	SDE IML / AI	1 yr 0 yrs	$150,000150K | N/A | N/A
50	MIT Lincoln Labor...Lexington, MA | 12/20/2022	Associate Technical StaffML / AI	4 yrs 4 yrs	$112,000112K | N/A | N/A
51	Rows Per Page50Rows Per Page1 - 50 of 1,0001234...20	Rows Per Page50Rows Per Page1 - 50 of 1,0001234...20	Rows Per Page50Rows Per Page1 - 50 of 1,0001234...20	Rows Per Page50Rows Per Page1 - 50 of 1,0001234...20
